,id,player_name,position,games,season,team,goals,shots,xG,assists,xA,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
601,3293,Lucas Moura,FWR,29,2014,Paris Saint Germain,7,40,6.745659675449133,5,4.54651590064168,41,2,0,5,5.225469436496496,13.237924985587597,7.19630909152329
602,3294,Edinson Cavani,Sub,10,2021,Manchester United,2,14,2.69224539026618,1,1.0626687463372946,3,0,0,2,2.69224539026618,3.5397602021694183,0.49548939149826765
603,3294,Edinson Cavani,Sub,26,2020,Manchester United,10,34,8.603231720626354,3,2.3172435145825148,14,4,0,10,8.603231720626354,12.259187385439873,2.730645166710019
604,3294,Edinson Cavani,FW,14,2019,Paris Saint Germain,4,28,9.334374457597733,1,1.0929752849042416,10,2,0,3,8.574279338121414,8.842202056199312,1.3648339062929153
605,3294,Edinson Cavani,FW,21,2018,Paris Saint Germain,18,52,15.445335105061531,5,3.699904168024659,13,1,0,14,11.644859485328197,17.841728627681732,3.8873160257935524
606,3294,Edinson Cavani,FW,32,2017,Paris Saint Germain,28,106,24.314603270962834,6,6.400494074448943,38,3,0,25,20.51412776298821,29.750943928956985,5.191347185522318
607,3294,Edinson Cavani,FW,36,2016,Paris Saint Germain,35,143,36.86662236601114,4,2.200447032228112,25,5,0,28,30.785861127078533,30.913603503257036,2.781269960105419
608,3294,Edinson Cavani,FW,32,2015,Paris Saint Germain,19,86,19.376584745943546,5,3.127685271203518,24,3,0,19,18.616489626467228,25.400624852627516,8.246316513046622
609,3294,Edinson Cavani,FWL,35,2014,Paris Saint Germain,18,111,22.860318928956985,1,1.7430233117192984,14,2,1,15,20.580033540725708,25.087476015090942,5.913359999656677
610,3422,João Moutinho,MC,21,2021,Wolverhampton Wanderers,2,13,0.7418876057490706,1,2.0555152371525764,26,2,0,2,0.7418876057490706,6.0588030852377415,4.737370256334543
611,3422,João Moutinho,MC,33,2020,Wolverhampton Wanderers,1,14,0.5027754157781601,1,1.6768401395529509,46,3,1,1,0.5027754157781601,7.028498139232397,6.230230144225061
612,3422,João Moutinho,MC,38,2019,Wolverhampton Wanderers,1,22,0.6877675270661712,6,6.775043549016118,76,7,0,1,0.6877675270661712,11.932691108435392,10.858657408505678
613,3422,João Moutinho,MC,38,2018,Wolverhampton Wanderers,1,18,0.5053663458675146,8,6.528550079092383,84,4,0,1,0.5053663458675146,9.504272107034922,7.7783681768924
614,3422,João Moutinho,MC,33,2017,Monaco,1,23,0.8857632540166378,6,5.286674663424492,55,6,0,1,0.8857632540166378,10.462750539183617,7.414039554074407
615,3422,João Moutinho,Sub,31,2016,Monaco,2,19,0.7762220138683915,4,2.419774379581213,27,0,0,2,0.7762220138683915,12.427638655528426,11.201179413124919
616,3422,João Moutinho,AMC,26,2015,Monaco,1,21,0.9550541080534458,2,3.985108619555831,43,3,0,1,0.9550541080534458,6.2674135798588395,4.251030357554555
617,3422,João Moutinho,AMC,37,2014,Monaco,4,47,4.56093461625278,6,6.483137185685337,69,6,0,3,3.8008394967764616,16.988174878060818,10.233526488766074
618,3491,Romain Saiss,DC,19,2021,Wolverhampton Wanderers,2,13,2.67127847392112,0,0.21051678620278835,3,3,0,2,2.67127847392112,4.2109838258475065,4.059747921302915
619,3491,Romain Saiss,DC,27,2020,Wolverhampton Wanderers,3,28,3.169141481630504,0,0.6693505402654409,5,2,0,3,3.169141481630504,4.751177296042442,3.9122766880318522
620,3491,Romain Saiss,Sub,33,2019,Wolverhampton Wanderers,2,23,3.669838863424957,1,1.2324710749089718,12,10,1,2,3.669838863424957,10.521784238517284,9.557376708835363
621,3491,Romain Saiss,Sub,19,2018,Wolverhampton Wanderers,2,11,1.289246629923582,0,0.727379709482193,4,7,0,2,1.289246629923582,3.860406062565744,2.933737952262163
622,3491,Romain Saiss,DMC,35,2015,Angers,2,27,2.46288918890059,2,1.2092728158459067,14,12,0,2,2.46288918890059,4.202868463471532,3.326761966571212
623,4419,Adam Armstrong,FW,18,2021,Southampton,2,43,4.066641267389059,2,1.624623842537403,13,1,0,2,4.066641267389059,5.965230625122786,0.6754391770809889
624,4419,Adam Armstrong,Sub,11,2014,Newcastle United,0,7,0.7543585672974586,1,0.4861124996095896,6,1,0,0,0.7543585672974586,2.115029338747263,0.9328645374625921
625,5220,Kai Havertz,Sub,16,2021,Chelsea,2,27,3.862804491072893,1,1.2137100249528885,4,0,0,2,3.862804491072893,7.945609346032143,3.2716057747602463
626,5220,Kai Havertz,AMC,27,2020,Chelsea,4,33,6.352183712646365,3,1.553381915204227,18,2,0,4,6.352183712646365,10.382943627424538,4.811911249533296
627,5220,Kai Havertz,FWR,30,2019,Bayer Leverkusen,12,59,10.05915692448616,6,8.284009255468845,58,3,0,11,9.30162325501442,23.020577698946,9.870825476944447
628,5220,Kai Havertz,DMC,34,2018,Bayer Leverkusen,17,86,11.994204838760197,3,2.954478455707431,35,2,0,14,9.721117750741541,22.984744610264897,12.918041354045272
629,5220,Kai Havertz,Sub,30,2017,Bayer Leverkusen,3,37,3.5613186191767454,8,4.474196845665574,31,3,0,3,3.5613186191767454,17.365763196721673,10.341463185846806
630,5220,Kai Havertz,MR,24,2016,Bayer Leverkusen,4,30,3.1232584062963724,5,3.2124662715941668,20,2,0,4,3.1232584062963724,8.048458069562912,4.268799092620611
631,5247,Naby Keita,MC,11,2021,Liverpool,2,15,0.8459738530218601,1,1.143466267734766,7,1,0,2,0.8459738530218601,4.639570701867342,3.147466816008091
632,5247,Naby Keita,MC,10,2020,Liverpool,0,9,0.39325888082385063,0,0.9129509925842285,6,1,0,0,0.39325888082385063,3.590221043676138,2.329714197665453
633,5247,Naby Keita,Sub,18,2019,Liverpool,2,12,1.7233739104121923,3,3.215543868020177,15,1,0,2,1.7233739104121923,9.588453019037843,5.729767521843314
634,5247,Naby Keita,MC,25,2018,Liverpool,2,27,2.5456338804215193,1,1.0696090441197157,9,0,0,2,2.5456338804215193,12.775823663920164,9.896367625333369
635,5247,Naby Keita,AMC,27,2017,RasenBallsport Leipzig,6,42,3.3211794402450323,5,4.164139160886407,40,7,2,6,3.3211794402450323,10.61025220155716,5.057676564902067
636,5247,Naby Keita,DMC,31,2016,RasenBallsport Leipzig,8,43,4.81089835613966,7,5.058186713606119,40,8,0,8,4.81089835613966,15.840577136725187,8.005771182477474
637,5543,Gabriel Jesus,Sub,19,2021,Manchester City,2,41,5.1413179114460945,7,4.017523150891066,26,0,0,2,5.1413179114460945,11.843569625169039,4.253144357353449
638,5543,Gabriel Jesus,FW,29,2020,Manchester City,9,55,9.653353471308947,4,3.5496952617540956,31,2,0,9,9.653353471308947,17.878496561199427,6.233648158609867
639,5543,Gabriel Jesus,FW,34,2019,Manchester City,14,101,21.015201296657324,7,3.598858255892992,32,3,0,14,20.2540324293077,27.652233857661486,7.18130973726511
640,5543,Gabriel Jesus,Sub,29,2018,Manchester City,7,43,12.621464371681213,3,2.65164215862751,21,1,0,6,11.860295534133911,16.592424385249615,4.9908908531069756
641,5543,Gabriel Jesus,FW,29,2017,Manchester City,13,55,15.366188988089561,3,2.3076753597706556,18,6,0,13,13.843851312994957,20.56147326901555,6.5146970227360725
642,5543,Gabriel Jesus,AMR,10,2016,Manchester City,7,24,7.243859618902206,4,1.890665166079998,10,2,0,6,6.482727557420731,8.800844706594944,1.1323138484731317
643,5595,Daniel James,Sub,17,2021,Leeds,2,34,4.410388253629208,1,1.5736527740955353,13,2,0,2,4.410388253629208,6.0889720395207405,0.5195116400718689
644,5595,Daniel James,AMR,2,2021,Manchester United,0,4,0.2607723996043205,0,0.5321792028844357,2,0,0,0,0.2607723996043205,0.3190056383609772,0.11984071135520935
645,5595,Daniel James,AMR,15,2020,Manchester United,3,17,2.312423251569271,1,1.3286132868379354,10,3,0,3,2.312423251569271,5.241103306412697,2.1443817038089037
646,5595,Daniel James,Sub,33,2019,Manchester United,3,42,3.603131093084812,6,4.264184528961778,26,4,0,3,3.603131093084812,11.158989392220974,5.398974547162652
647,5613,Gabriel,DC,18,2021,Arsenal,2,15,1.3082656655460596,0,0.06363057345151901,2,2,1,2,1.3082656655460596,5.813681562431157,5.722060461528599
648,5613,Gabriel,DC,23,2020,Arsenal,2,16,1.5645499601960182,0,0.05609598755836487,2,2,1,2,1.5645499601960182,5.762660853564739,5.748227469623089
649,5613,Gabriel,DMC,24,2019,Lille,1,17,1.0393158765509725,0,0.1377757415175438,3,3,0,1,1.0393158765509725,5.257580324076116,5.036714895628393
650,5613,Gabriel,Sub,14,2018,Lille,1,10,0.6148609649389982,0,0.16924549639225006,3,1,0,1,0.6148609649389982,3.9955066964030266,3.963796753436327
651,5613,Gabriel,Sub,1,2017,Troyes,0,0,0,0,0,0,1,0,0,0,0,0
652,5613,Gabriel,Sub,1,2016,Lille,0,0,0,0,0,0,0,0,0,0,0,0
653,6249,Davinson Sánchez,DC,14,2021,Tottenham,2,11,1.923772145062685,0,0.1723331529647112,3,3,0,2,1.923772145062685,4.181524073705077,3.9964355565607548
654,6249,Davinson Sánchez,DC,18,2020,Tottenham,0,5,0.8006941750645638,0,0.02053021267056465,1,1,0,0,0.8006941750645638,5.34808811545372,5.34808811545372
